Date,P/E,P/B,Div Yield %,Close,Previous Returns,Returns
04-Nov-22,21.77,4.26,1.25,18117.15,-0.17,0.36
07-Nov-22,21.71,4.28,1.24,18202.8,0.36,0.47
09-Nov-22,21.66,4.27,1.26,18157,0.47,-0.25
10-Nov-22,21.53,4.24,1.27,18028.2,-0.25,-0.71
11-Nov-22,21.92,4.31,1.24,18349.7,-0.71,1.77
14-Nov-22,21.79,4.31,1.26,18329.15,1.77,-0.11
15-Nov-22,21.89,4.32,1.3,18403.4,-0.11,0.4
16-Nov-22,21.91,4.32,1.3,18409.65,0.4,0.03
17-Nov-22,21.83,4.31,1.3,18343.9,0.03,-0.36
18-Nov-22,21.79,4.3,1.3,18307.65,-0.36,-0.2
21-Nov-22,21.82,4.26,1.35,18159.95,-0.2,-0.81
22-Nov-22,21.93,4.28,1.32,18244.2,-0.81,0.46
23-Nov-22,21.95,4.29,1.31,18267.25,0.46,0.13
24-Nov-22,22.21,4.34,1.3,18484.1,0.13,1.18
25-Nov-22,22.25,4.35,1.3,18512.75,1.18,0.15
28-Nov-22,22.31,4.36,1.29,18562.75,0.15,0.27
29-Nov-22,22.37,4.37,1.29,18618.05,0.27,0.3
30-Nov-22,22.54,4.4,1.28,18758.35,0.3,0.75
01-Dec-22,22.61,4.42,1.28,18812.5,0.75,0.29
02-Dec-22,22.47,4.39,1.28,18696.1,0.29,-0.62
05-Dec-22,22.47,4.39,1.28,18701.05,-0.62,0.03
06-Dec-22,22.4,4.38,1.26,18642.75,0.03,-0.31
07-Dec-22,22.31,4.36,1.27,18560.5,-0.31,-0.44
08-Dec-22,22.36,4.37,1.27,18609.35,-0.44,0.26
09-Dec-22,22.23,4.34,1.27,18496.6,0.26,-0.61
12-Dec-22,22.23,4.34,1.27,18497.15,-0.61,0
13-Dec-22,22.36,4.37,1.27,18608,0,0.6
14-Dec-22,22.43,4.38,1.26,18660.3,0.6,0.28
15-Dec-22,22.13,4.32,1.28,18414.9,0.28,-1.32
16-Dec-22,21.96,4.29,1.29,18269,-1.32,-0.8
19-Dec-22,22.14,4.32,1.28,18420.45,-0.8,0.83
20-Dec-22,22.1,4.32,1.28,18385.3,0.83,-0.19
21-Dec-22,21.87,4.27,1.29,18199.1,-0.19,-1.02
22-Dec-22,21.79,4.26,1.27,18127.35,-1.02,-0.4
23-Dec-22,21.4,4.18,1.29,17806.8,-0.4,-1.78
26-Dec-22,21.65,4.23,1.28,18014.6,-1.78,1.16
27-Dec-22,21.79,4.26,1.27,18132.3,1.16,0.65
28-Dec-22,21.78,4.25,1.27,18122.5,0.65,-0.05
29-Dec-22,21.86,4.27,1.27,18191,-0.05,0.38
30-Dec-22,21.79,4.25,1.27,18105.3,0.38,-0.47
02-Jan-23,21.9,4.27,1.26,18197.45,-0.47,0.51
03-Jan-23,21.94,4.28,1.26,18232.55,0.51,0.19
04-Jan-23,21.71,4.23,1.27,18042.95,0.19,-1.05
05-Jan-23,21.65,4.22,1.28,17992.15,-1.05,-0.28
06-Jan-23,21.49,4.19,1.29,17859.45,-0.28,-0.74
09-Jan-23,21.78,4.25,1.27,18101.2,-0.74,1.34
10-Jan-23,21.56,4.2,1.28,17914.15,1.34,-1.04
11-Jan-23,21.52,4.2,1.28,17895.7,-1.04,-0.1
12-Jan-23,21.47,4.19,1.29,17858.2,-0.1,-0.21
13-Jan-23,21.54,4.21,1.28,17956.6,-0.21,0.55
16-Jan-23,21.34,4.19,1.38,17894.85,0.55,-0.34
17-Jan-23,21.53,4.23,1.37,18053.3,-0.34,0.88
18-Jan-23,21.67,4.26,1.36,18165.35,0.88,0.62
19-Jan-23,21.56,4.24,1.37,18107.85,0.62,-0.32
20-Jan-23,21.46,4.23,1.36,18027.65,-0.32,-0.44
23-Jan-23,21.6,4.25,1.35,18118.55,-0.44,0.5
24-Jan-23,21.49,4.25,1.36,18118.3,0.5,0
25-Jan-23,21.19,4.19,1.37,17891.95,0,-1.26
27-Jan-23,20.7,4.13,1.4,17604.35,-1.26,-1.62
30-Jan-23,20.73,4.14,1.39,17648.95,-1.62,0.25
31-Jan-23,20.73,4.14,1.39,17662.15,0.25,0.07
01-Feb-23,20.68,4.13,1.4,17616.3,0.07,-0.26
02-Feb-23,20.59,4.13,1.4,17610.4,-0.26,-0.03
03-Feb-23,20.86,4.18,1.38,17854.05,-0.03,1.37
06-Feb-23,20.71,4.16,1.39,17764.6,1.37,-0.5
07-Feb-23,20.5,4.15,1.39,17721.5,-0.5,-0.24
08-Feb-23,21.1,4.19,1.42,17871.7,-0.24,0.84
09-Feb-23,21.11,4.19,1.41,17893.45,0.84,0.12
10-Feb-23,21.06,4.18,1.41,17856.5,0.12,-0.21
